Transaction_Number,Office_FilerType,Date_Received_Filed,Transaction_Date,Ticker,Asset_Name,Transaction_Type,Amount
6327,"Perdue, David (Senator)",07-01-2016,23-12-2015,--,KN,Purchase,8000.5
6328,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,Potash Corp of Saskatchewan Inc POT,Sale (Full),8000.5
6329,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,NCR Corp New NCR,Sale (Full),8000.5
6330,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,Fireeye Inc FEYE,Sale (Full),8000.5
6331,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,Claymore Trust 2 Guggenheim Shipping SEA,Sale (Full),8000.5
6332,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,Affiliated Managers Group AMG,Sale (Full),8000.5
6333,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,GUGGENHEIM S&P RYT,Purchase,8000.5
6334,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,FACTORSHARES TR PUREFUNDS ISE CYBER SEC  HACK,Purchase,8000.5
6335,"Reed, John F. (Senator)",07-01-2016,23-12-2015,--,ISHARES IAI,Purchase,8000.5
6336,"Whitehouse, Sheldon (Senator)",20-01-2016,22-12-2015,LRCX,Lam Research Corporation,Purchase,8000.5
6337,"Whitehouse, Sheldon (Senator)",20-01-2016,22-12-2015,LRCX,Lam Research Corporation,Purchase,8000.5
6338,"Whitehouse, Sheldon (Senator)",11-08-2016,22-12-2015,LRCX,Lam Research Corporation,Purchase,8000.5
6339,"Whitehouse, Sheldon (Senator)",11-08-2016,22-12-2015,LRCX,Lam Research Corporation,Purchase,8000.5
6340,"Perdue, David (Senator)",07-01-2016,21-12-2015,--,WMT,Purchase,8000.5
6341,"Perdue, David (Senator)",07-01-2016,21-12-2015,--,MOS,Purchase,8000.5
6342,"Perdue, David (Senator)",07-01-2016,21-12-2015,--,WLK,Purchase,8000.5
6343,"Perdue, David (Senator)",07-01-2016,18-12-2015,--,LQDT,Sale (Partial),8000.5
6344,"Perdue, David (Senator)",07-01-2016,18-12-2015,--,GE,Sale (Partial),8000.5
6345,"Perdue, David (Senator)",07-01-2016,18-12-2015,--,GE,Sale (Partial),8000.5
6346,"Perdue, David (Senator)",07-01-2016,18-12-2015,--,LYV,Purchase,8000.5
6347,"Perdue, David (Senator)",07-01-2016,18-12-2015,--,WMT,Purchase,8000.5
6348,"Perdue, David (Senator)",07-01-2016,18-12-2015,--,GE,Sale (Partial),8000.5
6349,"Perdue, David (Senator)",12-08-2016,17-12-2015,--,PAGP,Sale (Full),8000.5
6350,"Perdue, David (Senator)",12-08-2016,17-12-2015,--,LNT,Sale (Partial),32500.5
6351,"Perdue, David (Senator)",12-08-2016,17-12-2015,--,LNT,Sale (Partial),32500.5
6352,"Perdue, David (Senator)",12-08-2016,17-12-2015,--,WMT,Purchase,8000.5
6353,"Perdue, David (Senator)",12-08-2016,17-12-2015,--,GE,Sale (Partial),8000.5
6354,"Perdue, David (Senator)",12-08-2016,17-12-2015,--,WLK,Purchase,8000.5
6355,"Perdue, David (Senator)",18-12-2015,17-12-2015,--,PAGP,Sale (Full),8000.5
6356,"Perdue, David (Senator)",18-12-2015,17-12-2015,--,LNT,Sale (Partial),32500.5
6357,"Perdue, David (Senator)",18-12-2015,17-12-2015,--,LNT,Sale (Partial),32500.5
6358,"Perdue, David (Senator)",18-12-2015,17-12-2015,--,WMT,Purchase,8000.5
6359,"Perdue, David (Senator)",18-12-2015,17-12-2015,--,GE,Sale (Partial),8000.5
6360,"Perdue, David (Senator)",18-12-2015,17-12-2015,--,WLK,Purchase,8000.5
6361,"King, Angus (Senator)",19-01-2016,16-12-2015,KMI,"Kinder Morgan, Inc.",Sale (Full),8000.5
6362,"Perdue, David (Senator)",12-08-2016,16-12-2015,--,PAGP,Sale (Partial),8000.5
6363,"Perdue, David (Senator)",12-08-2016,16-12-2015,--,PKI,Sale (Partial),8000.5
6364,"Perdue, David (Senator)",12-08-2016,16-12-2015,--,LYV,Purchase,8000.5
6365,"Perdue, David (Senator)",12-08-2016,16-12-2015,--,DVN,Purchase,8000.5
6366,"Perdue, David (Senator)",12-08-2016,16-12-2015,--,DVN,Purchase,8000.5
6367,"Perdue, David (Senator)",18-12-2015,16-12-2015,--,PAGP,Sale (Partial),8000.5
6368,"Perdue, David (Senator)",18-12-2015,16-12-2015,--,PKI,Sale (Partial),8000.5
6369,"Perdue, David (Senator)",18-12-2015,16-12-2015,--,LYV,Purchase,8000.5
6370,"Perdue, David (Senator)",18-12-2015,16-12-2015,--,DVN,Purchase,8000.5
6371,"Perdue, David (Senator)",18-12-2015,16-12-2015,--,DVN,Purchase,8000.5
6372,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,SPDR S&P 500 ETF,Sale (Full),750000.5
6373,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,DISCA,Purchase,75000.5
6374,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,KN,Purchase,32500.5
6375,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,WPX,Purchase,32500.5
6376,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,DVN,Purchase,32500.5
6377,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,USG,Purchase,32500.5
6378,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,BAX,Purchase,175000.5
6379,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,MOS,Purchase,175000.5
6380,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,ADT,Purchase,75000.5
6381,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,CBS,Purchase,75000.5
6382,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,WMT,Purchase,8000.5
6383,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,AXLL,Purchase,32500.5
6384,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,WMT,Purchase,8000.5
6385,"Perdue, David (Senator)",12-08-2016,15-12-2015,DVN,Devon Energy Corporation,Purchase,32500.5
6386,"Perdue, David (Senator)",12-08-2016,15-12-2015,--,DISCA,Purchase,8000.5
6387,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,SPDR S&P 500 ETF,Sale (Full),750000.5
6388,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,DISCA,Purchase,75000.5
6389,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,KN,Purchase,32500.5
6390,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,WPX,Purchase,32500.5
6391,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,DVN,Purchase,32500.5
6392,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,USG,Purchase,32500.5
6393,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,BAX,Purchase,175000.5
6394,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,MOS,Purchase,175000.5
6395,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,ADT,Purchase,75000.5
6396,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,CBS,Purchase,75000.5
6397,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,WMT,Purchase,8000.5
6398,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,AXLL,Purchase,32500.5
6399,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,WMT,Purchase,8000.5
6400,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,DV,Purchase,32500.5
6401,"Perdue, David (Senator)",18-12-2015,15-12-2015,--,DISCA,Purchase,8000.5
6402,"Perdue, David (Senator)",12-08-2016,14-12-2015,--,AVP,Purchase,8000.5
6403,"Perdue, David (Senator)",12-08-2016,14-12-2015,--,WMT,Purchase,8000.5
6404,"Perdue, David (Senator)",12-08-2016,14-12-2015,--,WFM,Purchase,8000.5
6405,"Perdue, David (Senator)",18-12-2015,14-12-2015,--,AVP,Purchase,8000.5
6406,"Perdue, David (Senator)",18-12-2015,14-12-2015,--,WMT,Purchase,8000.5
6407,"Perdue, David (Senator)",18-12-2015,14-12-2015,--,WFM,Purchase,8000.5
6408,"Whitehouse, Sheldon (Senator)",16-06-2016,14-12-2015,--,CY,Sale (Full),8000.5
6409,"Whitehouse, Sheldon (Senator)",16-06-2016,14-12-2015,--,QCOM,Sale (Full),32500.5
6410,"Whitehouse, Sheldon (Senator)",16-12-2015,14-12-2015,--,CY,Sale (Full),8000.5
6411,"Whitehouse, Sheldon (Senator)",16-12-2015,14-12-2015,--,QCOM,Sale (Full),32500.5
6412,"Collins, Susan M. (Senator)",09-01-2015,11-12-2015,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Purchase,8000.5
6413,"Collins, Susan M. (Senator)",20-07-2015,11-12-2015,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Purchase,8000.5
6414,"Collins, Susan M. (Senator)",09-01-2015,11-12-2015,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Purchase,8000.5
6415,"Collins, Susan M. (Senator)",17-07-2015,11-12-2015,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Purchase,8000.5
6416,"Perdue, David (Senator)",12-08-2016,11-12-2015,--,BK,Sale (Full),8000.5
6417,"Perdue, David (Senator)",18-12-2015,11-12-2015,--,BK,Sale (Full),8000.5
6418,"Perdue, David (Senator)",12-08-2016,09-12-2015,--,BK,Sale (Partial),8000.5
6419,"Perdue, David (Senator)",18-12-2015,09-12-2015,--,BK,Sale (Partial),8000.5
6420,"Whitehouse, Sheldon (Senator)",16-06-2016,09-12-2015,--,MSFT,Purchase,32500.5
6421,"Whitehouse, Sheldon (Senator)",16-06-2016,09-12-2015,--,JNJ,Purchase,32500.5
6422,"Whitehouse, Sheldon (Senator)",16-06-2016,09-12-2015,--,BMY,Purchase,8000.5
6423,"Whitehouse, Sheldon (Senator)",16-06-2016,09-12-2015,--,GILD,Purchase,32500.5
6424,"Whitehouse, Sheldon (Senator)",16-12-2015,09-12-2015,--,MSFT,Purchase,32500.5
6425,"Whitehouse, Sheldon (Senator)",16-12-2015,09-12-2015,--,JNJ,Purchase,32500.5
6426,"Whitehouse, Sheldon (Senator)",16-12-2015,09-12-2015,--,BMY,Purchase,8000.5
6427,"Whitehouse, Sheldon (Senator)",16-12-2015,09-12-2015,--,GILD,Purchase,32500.5
6428,"Carper, Thomas R. (Senator)",07-01-2016,08-12-2015,--,Weight Watchers Intl Inc,Purchase,8000.5
6429,"Carper, Thomas R. (Senator)",07-01-2016,08-12-2015,--,Weight Watchers Intl Inc,Purchase,8000.5
6430,"Hoeven, John (Senator)",16-12-2015,07-12-2015,--,CMI - Cummins Inc. (NYSE),Sale (Full),75000.5
6431,"Hoeven, John (Senator)",16-12-2015,07-12-2015,--,"ADP - Automatic Data Processing, Inc. (NASDAQ)",Sale (Full),175000.5
6432,"Hoeven, John (Senator)",16-12-2015,07-12-2015,--,CMI - Cummins Inc. (NYSE),Sale (Full),75000.5
6433,"Hoeven, John (Senator)",16-12-2015,07-12-2015,--,"ADP - Automatic Data Processing, Inc. (NASDAQ)",Sale (Full),175000.5
6434,"Perdue, David (Senator)",12-08-2016,07-12-2015,--,WLK,Purchase,8000.5
6435,"Perdue, David (Senator)",18-12-2015,07-12-2015,--,WLK,Purchase,8000.5
6436,"Hoeven, John (Senator)",16-12-2015,02-12-2015,--,"NOG - Northern Oil & Gas, Inc. (AMEX)",Sale (Full),32500.5
6437,"Hoeven, John (Senator)",16-12-2015,02-12-2015,--,"NOG - Northern Oil & Gas, Inc. (AMEX)",Sale (Full),32500.5
6438,"Carper, Thomas R. (Senator)",07-01-2016,01-12-2015,--,Under Armour Inc Cl A,Purchase,8000.5
6439,"Carper, Thomas R. (Senator)",07-01-2016,01-12-2015,--,Under Armour Inc Cl A,Purchase,8000.5
6440,"Perdue, David (Senator)",12-08-2016,01-12-2015,--,LNT,Sale (Partial),75000.5
6441,"Perdue, David (Senator)",12-08-2016,01-12-2015,--,SE,Purchase,32500.5
6442,"Perdue, David (Senator)",12-08-2016,01-12-2015,--,AXP,Purchase,32500.5
6443,"Perdue, David (Senator)",12-08-2016,01-12-2015,--,WFM,Purchase,8000.5
6444,"Perdue, David (Senator)",18-12-2015,01-12-2015,--,LNT,Sale (Partial),75000.5
6445,"Perdue, David (Senator)",18-12-2015,01-12-2015,--,SE,Purchase,32500.5
6446,"Perdue, David (Senator)",18-12-2015,01-12-2015,--,AXP,Purchase,32500.5
6447,"Perdue, David (Senator)",18-12-2015,01-12-2015,--,WFM,Purchase,8000.5
6448,"Hoeven, John (Senator)",21-12-2015,30-11-2015,--,KMI - Kinder Morgan Inc (NYSE),Sale (Full),32500.5
6449,"Perdue, David (Senator)",12-08-2016,30-11-2015,--,CVC,Sale (Full),8000.5
6450,"Perdue, David (Senator)",18-12-2015,30-11-2015,--,CVC,Sale (Full),8000.5
6451,"Cruz, Ted (Senator)",03-12-2015,29-11-2015,--,CVX - Chevron Corporation CMN,Sale (Full),32500.5
6452,"Hoeven, John (Senator)",16-12-2015,25-11-2015,--,PFE - Pfizer Inc. (NYSE),Sale (Full),175000.5
6453,"Hoeven, John (Senator)",16-12-2015,25-11-2015,--,PFE - Pfizer Inc. (NYSE),Sale (Full),175000.5
6454,"Perdue, David (Senator)",12-08-2016,25-11-2015,--,PSX,Sale (Full),32500.5
